"frequency","skills"
"10","sql"
"9","excel"
"8","spark"
"6","power bi"
"5","tableau"
"4","python"
"4","sas"
"3","alteryx"
"3","hadoop"
"3","nosql"
"3","aws"
"2","numpy"
"2","postgresql"
"2","r"
"2","javascript"
"2","jira"
"2","snowflake"
"2","firebase"
"2","sql server"
"2","confluence"
"2","mongodb"
"2","pandas"
"1","trello"
"1","bigquery"
"1","databricks"
"1","git"
"1","go"
"1","java"
"1","jupyter"
"1","kafka"
"1","linux"
"1","looker"
"1","mysql"
"1","powerpoint"
"1","redshift"
"1","scala"
"1","scikit-learn"
"1","spss"
"1","airflow"
