"skill","round"
"sql server","165000.00"
"linux","165000.00"
"kafka","165000.00"
"mongodb","165000.00"
"redshift","165000.00"
"mysql","165000.00"
"scikit-learn","157500.00"
"go","156500.00"
"java","156500.00"
"scala","156500.00"
"databricks","156500.00"
"nosql","156333.33"
"hadoop","156333.33"
"postgresql","156250.00"
"aws","144225.00"
"pandas","137525.00"
"numpy","137525.00"
"spark","121322.50"
"javascript","118750.00"
"trello","118640.00"
"git","118640.00"
"airflow","118640.00"
"sql","116001.25"
"alteryx","113663.33"
"firebase","109500.00"
"snowflake","106120.00"
"confluence","106120.00"
"sas","104320.00"
"power bi","94817.86"
"jupyter","93600.00"
